Gene symbol,RIP LFE,Target bin,Reads bin,Clusters bin,ACUK bin,WGGA bin,RRE Ratio bin,RRE CDS-3UTR bin,Exon Intron Only bin,Exon Intron Ratio bin,Region Exclusive bin,CDS per gene bin,CDS 3UTR Ratio bin,ASD bin,,,,,,,,
ABCA3,0.758993655,Target,13-36 Reads,2-4 Clusters,0 ACUK,2-3 WGGA,,WGGA-CDS,Exon,,CDS,2-3 CDS,,,,,,,,,,
ABCA4,,,,,,,,,,,,,,,,,,,,,,
ABCA5,-0.112671927,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCA6,,,,,,,,,,,,,,,,,,,,,,
ABCA7,0.712376947,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCA8,,,,,,,,,,,,,,,,,,,,,,
ABCA9,,,,,,,,,,,,,,,,,,,,,,
ABCB1,1.352067557,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCB10,0.717069135,Target,103-301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1 to 1.99:1,,,,,,,,,
ABCB11,,,,,,,,,,,,,,,,,,,,,,
ABCB4,1.591539418,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCB5,,,,,,,,,,,,,,,,,,,,,,
ABCB6,1.005607977,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCB7,-0.264629823,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
ABCB8,0.570129436,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCB9,0.292914488,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCC1,0.412448861,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCC10,0.69631018,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCC11,,,,,,,,,,,,,,,,,,,,,,
ABCC12,,,,,,,,,,,,,,,,,,,,,,
ABCC2,,,,,,,,,,,,,,,,,,,,,,
ABCC3,-0.166183042,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCC4,0.613634194,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,7-13 CDS,> 4:1,,,,,,,,,
ABCC5,0.651522532,Target,5-12 Reads,1 Cluster,,,,,Exon,,CDS,1 CDS,,,,,,,,,,
ABCC6,,,,,,,,,,,,,,,,,,,,,,
ABCC8,,,,,,,,,,,,,,,,,,,,,,
ABCC9,,,,,,,,,,,,,,,,,,,,,,
ABCD1,0.413947536,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCD2,,,,,,,,,,,,,,,,,,,,,,
ABCD3,0.582062556,Target,13-36 Reads,5-10 Clusters,1 ACUK,2-3 WGGA,< 1:1,,Exon,,,4-6 CDS,2 to 4:1,,,,,,,,,
ABCD4,0.394546478,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCE1,-0.574922021,Target,103-301 Reads,11-24 Clusters,2-3 ACUK,0 WGGA,,,Exon,,,7-13 CDS,2 to 4:1,,,,,,,,,
ABCF1,1.27325399,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,2 to 4:1,,,,,,,,,
ABCF2,1.51315714,Target,103-301 Reads,11-24 Clusters,,,,,,5-20:1,,7-13 CDS,2 to 4:1,,,,,,,,,
ABCF3,0.973618634,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCG1,0.449749718,Target,5-12 Reads,2-4 Clusters,1 ACUK,0 WGGA,,ACUK-3UTR,Exon,,3'UTR,,,,,,,,,,,
ABCG2,0.632930842,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABCG4,,,,,,,,,,,,,,,,,,,,,,
ABCG5,,,,,,,,,,,,,,,,,,,,,,
ABCG8,,,,,,,,,,,,,,,,,,,,,,
ABHD1,,,,,,,,,,,,,,,,,,,,,,
ABHD10,-0.522971338,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,3'UTR,,,,,,,,,,,
ABHD11,0.216931753,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABHD12,0.477072151,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABHD12B,,,,,,,,,,,,,,,,,,,,,,
ABHD13,,,,,,,,,,,,,,,,,,,,,,
ABHD14A,-1.08384588,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABHD14B,-1.876084183,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABHD15,2.261431911,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
ABHD16A,,,,,,,,,,,,,,,,,,,,,,
ABHD16B,,,,,,,,,,,,,,,,,,,,,,
ABHD2,0.689136158,Target, > 301 Reads, > 24 Clusters,,,,,,> 20:1,,1 CDS,at most 1:3,,,,,,,,,
ABHD3,-0.55953596,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABHD4,0.211672642,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABHD5,0.055440417,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,> 4:1,,,,,,,,,
ABHD6,-0.187999056,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABHD8,0.485345524,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
ABI1,-0.38751422,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,1 to 1.99:1,,,,,,,,,
ABI2,-0.531626526,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,7-13 CDS,at most 1:3,,,,,,,,,
ABI3,-0.258589383,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABI3BP,,,,,,,,,,,,,,,,,,,,,,
ABL1,1.211357383,Target,103-301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,2 to 4:1,,,,,,,,,
ABL2,0.746904509,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1:3 to 3:4,,,,,,,,,
ABLIM1,0.384224928,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,7-13 CDS,at most 1:3,,,,,,,,,
ABLIM2,0.460522968,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABLIM3,,,,,,,,,,,,,,,,,,,,,,
ABO,0.108580395,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABP1,,,,,,,,,,,,,,,,,,,,,,
ABR,0.956818444,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,,1 CDS,1:3 to 3:4,,,,,,,,,
ABRA,,,,,,,,,,,,,,,,,,,,,,
ABT1,0.08841227,Target,13-36 Reads,2-4 Clusters,1 ACUK,0 WGGA,,,Exon,,,1 CDS,1 to 1.99:1,,,,,,,,,
ABTB1,-0.067081456,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ABTB2,0.877327238,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
AC002086.1,,,,,,,,,,,,,,,,,,,,,,
AC003682.1,,,,,,,,,,,,,,,,,,,,,,
AC004017.1,,,,,,,,,,,,,,,,,,,,,,
AC004223.1,,,,,,,,,,,,,,,,,,,,,,
AC004258.1,,,,,,,,,,,,,,,,,,,,,,
AC004381.6,,,,,,,,,,,,,,,,,,,,,,
AC004410.1,,,,,,,,,,,,,,,,,,,,,,
AC004696.1,,,,,,,,,,,,,,,,,,,,,,
AC005003.1,,,,,,,,,,,,,,,,,,,,,,
AC005035.1,,,,,,,,,,,,,,,,,,,,,,
AC005481.5,,,,,,,,,,,,,,,,,,,,,,
AC005522.1,,,,,,,,,,,,,,,,,,,,,,
AC005544.1,,,,,,,,,,,,,,,,,,,,,,
AC005594.1,,,,,,,,,,,,,,,,,,,,,,
AC005609.17,,,,,,,,,,,,,,,,,,,,,,
AC005726.6,,,,,,,,,,,,,,,,,,,,,,
AC005841.1,,,,,,,,,,,,,,,,,,,,,,
AC006305.1,,,,,,,,,,,,,,,,,,,,,,
AC006435.1,,,,,,,,,,,,,,,,,,,,,,
AC006449.1,,,,,,,,,,,,,,,,,,,,,,
AC006465.3,,,,,,,,,,,,,,,,,,,,,,
AC006486.1,,,,,,,,,,,,,,,,,,,,,,
AC006547.14,,,,,,,,,,,,,,,,,,,,,,
AC006946.15,,,,,,,,,,,,,,,,,,,,,,
AC007000.1,,,,,,,,,,,,,,,,,,,,,,
AC007182.1,,,,,,,,,,,,,,,,,,,,,,
AC007308.1,,,,,,,,,,,,,,,,,,,,,,
AC007401.2,,,,,,,,,,,,,,,,,,,,,,
AC007405.7,,,,,,,,,,,,,,,,,,,,,,
AC007601.1,,,,,,,,,,,,,,,,,,,,,,
AC007608.1,,,,,,,,,,,,,,,,,,,,,,
AC007621.1,,,,,,,,,,,,,,,,,,,,,,
AC007663.1,,,,,,,,,,,,,,,,,,,,,,
AC007956.1,,,,,,,,,,,,,,,,,,,,,,
AC008038.1,,,,,,,,,,,,,,,,,,,,,,
AC008073.5,,,,,,,,,,,,,,,,,,,,,,
AC008073.6,,,,,,,,,,,,,,,,,,,,,,
AC008074.1,,,,,,,,,,,,,,,,,,,,,,
AC008394.1,,,,,,,,,,,,,,,,,,,,,,
AC008532.1,,,,,,,,,,,,,,,,,,,,,,
AC008537.1,,,,,,,,,,,,,,,,,,,,,,
AC008537.4,,,,,,,,,,,,,,,,,,,,,,
AC008687.1,,,,,,,,,,,,,,,,,,,,,,
AC008735.15,,,,,,,,,,,,,,,,,,,,,,
AC008743.7,,,,,,,,,,,,,,,,,,,,,,
AC008745.1,,,,,,,,,,,,,,,,,,,,,,
AC008763.1,,,,,,,,,,,,,,,,,,,,,,
AC008810.1,,,,,,,,,,,,,,,,,,,,,,
AC009041.2,,,,,,,,,,,,,,,,,,,,,,
AC009053.1,,,,,,,,,,,,,,,,,,,,,,
AC009065.1,,,,,,,,,,,,,,,,,,,,,,
AC009086.1,,,,,,,,,,,,,,,,,,,,,,
AC009093.1,,,,,,,,,,,,,,,,,,,,,,
AC009113.1,,,,,,,,,,,,,,,,,,,,,,
AC009113.2,,,,,,,,,,,,,,,,,,,,,,
AC009133.1,,,,,,,,,,,,,,,,,,,,,,
AC009336.1,,,,,,,,,,,,,,,,,,,,,,
AC009403.2,,,,,,,,,,,,,,,,,,,,,,
AC009996.1,,,,,,,,,,,,,,,,,,,,,,
AC010325.1,,,,,,,,,,,,,,,,,,,,,,
AC010336.1,,,,,,,,,,,,,,,,,,,,,,
AC010336.2,,,,,,,,,,,,,,,,,,,,,,
AC010441.1,,,,,,,,,,,,,,,,,,,,,,
AC010507.1,,,,,,,,,,,,,,,,,,,,,,
AC010531.1,,,,,,,,,,,,,,,,,,,,,,
AC010536.1,,,,,,,,,,,,,,,,,,,,,,
AC010536.2,,,,,,,,,,,,,,,,,,,,,,
AC010997.1,,,,,,,,,,,,,,,,,,,,,,
AC011239.1,,,,,,,,,,,,,,,,,,,,,,
AC011298.2,,,,,,,,,,,,,,,,,,,,,,
AC011357.1,,,,,,,,,,,,,,,,,,,,,,
AC011366.3,,,,,,,,,,,,,,,,,,,,,,
AC011467.1,,,,,,,,,,,,,,,,,,,,,,
AC011481.1,,,,,,,,,,,,,,,,,,,,,,
AC011484.1,,,,,,,,,,,,,,,,,,,,,,
AC011484.2,,,,,,,,,,,,,,,,,,,,,,
AC011498.1,,,,,,,,,,,,,,,,,,,,,,
AC011500.1,,,,,,,,,,,,,,,,,,,,,,
AC011500.2,,,,,,,,,,,,,,,,,,,,,,
AC011551.1,,,,,,,,,,,,,,,,,,,,,,
AC012100.1,,,,,,,,,,,,,,,,,,,,,,
AC012123.1,,,,,,,,,,,,,,,,,,,,,,
AC012313.1,,,,,,,,,,,,,,,,,,,,,,
AC012318.1,,,,,,,,,,,,,,,,,,,,,,
AC012354.1,,,,,,,,,,,,,,,,,,,,,,
AC012621.2,,,,,,,,,,,,,,,,,,,,,,
AC012652.1,,,,,,,,,,,,,,,,,,,,,,
AC013418.1,,,,,,,,,,,,,,,,,,,,,,
AC013461.1,,,,,,,,,,,,,,,,,,,,,,
AC013553.1,,,,,,,,,,,,,,,,,,,,,,
AC015723.1,,,,,,,,,,,,,,,,,,,,,,
AC015987.1,,,,,,,,,,,,,,,,,,,,,,
AC016586.1,,,,,,,,,,,,,,,,,,,,,,
AC016722.1,,,,,,,,,,,,,,,,,,,,,,
AC016722.2,,,,,,,,,,,,,,,,,,,,,,
AC016757.1,,,,,,,,,,,,,,,,,,,,,,
AC017104.2,,,,,,,,,,,,,,,,,,,,,,
AC018755.11,,,,,,,,,,,,,,,,,,,,,,
AC019294.1,,,,,,,,,,,,,,,,,,,,,,
AC019294.2,,,,,,,,,,,,,,,,,,,,,,
AC020659.1,,,,,,,,,,,,,,,,,,,,,,
AC020763.1,,,,,,,,,,,,,,,,,,,,,,
AC020922.1,,,,,,,,,,,,,,,,,,,,,,
AC021066.1,,,,,,,,,,,,,,,,,,,,,,
AC021593.1,,,,,,,,,,,,,,,,,,,,,,
AC022098.1,,,,,,,,,,,,,,,,,,,,,,
AC022148.1,,,,,,,,,,,,,,,,,,,,,,
AC022415.1,,,,,,,,,,,,,,,,,,,,,,
AC022415.5,,,,,,,,,,,,,,,,,,,,,,
AC022498.1,,,,,,,,,,,,,,,,,,,,,,
AC022532.1,,,,,,,,,,,,,,,,,,,,,,
AC022692.1,,,,,,,,,,,,,,,,,,,,,,
AC023024.1,,,,,,,,,,,,,,,,,,,,,,
AC023590.1,,,,,,,,,,,,,,,,,,,,,,
AC023632.1,,,,,,,,,,,,,,,,,,,,,,
AC023830.1,,,,,,,,,,,,,,,,,,,,,,
AC024270.1,,,,,,,,,,,,,,,,,,,,,,
AC024575.1,,,,,,,,,,,,,,,,,,,,,,
AC024580.1,,,,,,,,,,,,,,,,,,,,,,
AC024940.1,,,,,,,,,,,,,,,,,,,,,,
AC026703.1,,,,,,,,,,,,,,,,,,,,,,
AC027125.1,,,,,,,,,,,,,,,,,,,,,,
AC027763.2,,,,,,,,,,,,,,,,,,,,,,
AC037487.1,,,,,,,,,,,,,,,,,,,,,,
AC040977.1,,,,,,,,,,,,,,,,,,,,,,
AC040980.1,,,,,,,,,,,,,,,,,,,,,,
AC044860.3,,,,,,,,,,,,,,,,,,,,,,
AC044913.1,,,,,,,,,,,,,,,,,,,,,,
AC051642.1,,,,,,,,,,,,,,,,,,,,,,
AC053481.1,,,,,,,,,,,,,,,,,,,,,,
AC068020.1,,,,,,,,,,,,,,,,,,,,,,
AC068353.1,,,,,,,,,,,,,,,,,,,,,,
AC068473.1,,,,,,,,,,,,,,,,,,,,,,
AC068533.7,,,,,,,,,,,,,,,,,,,,,,
AC068775.1,,,,,,,,,,,,,,,,,,,,,,
AC069214.1,,,,,,,,,,,,,,,,,,,,,,
AC069257.9,,,,,,,,,,,,,,,,,,,,,,
AC069281.1,,,,,,,,,,,,,,,,,,,,,,
AC073263.1,,,,,,,,,,,,,,,,,,,,,,
AC073343.1,,,,,,,,,,,,,,,,,,,,,,
AC073346.2,,,,,,,,,,,,,,,,,,,,,,
AC073624.1,,,,,,,,,,,,,,,,,,,,,,
AC074032.1,,,,,,,,,,,,,,,,,,,,,,
AC074091.13,,,,,,,,,,,,,,,,,,,,,,
AC074212.3,,,,,,,,,,,,,,,,,,,,,,
AC078802.1,,,,,,,,,,,,,,,,,,,,,,
AC078953.1,,,,,,,,,,,,,,,,,,,,,,
AC083862.1,,,,,,,,,,,,,,,,,,,,,,
AC083883.1,,,,,,,,,,,,,,,,,,,,,,
AC084018.1,,,,,,,,,,,,,,,,,,,,,,
AC084082.3,,,,,,,,,,,,,,,,,,,,,,
AC084198.1,,,,,,,,,,,,,,,,,,,,,,
AC087289.1,,,,,,,,,,,,,,,,,,,,,,
AC087465.1,,,,,,,,,,,,,,,,,,,,,,
AC087491.2,,,,,,,,,,,,,,,,,,,,,,
AC087650.1,,,,,,,,,,,,,,,,,,,,,,
AC090098.1,,,,,,,,,,,,,,,,,,,,,,
AC090186.1,,,,,,,,,,,,,,,,,,,,,,
AC090579.1,,,,,,,,,,,,,,,,,,,,,,
AC090616.2,,,,,,,,,,,,,,,,,,,,,,
AC090699.1,,,,,,,,,,,,,,,,,,,,,,
AC091132.2,,,,,,,,,,,,,,,,,,,,,,
AC091153.1,,,,,,,,,,,,,,,,,,,,,,
AC091167.2,,,,,,,,,,,,,,,,,,,,,,
AC091172.1,,,,,,,,,,,,,,,,,,,,,,
AC091196.1,,,,,,,,,,,,,,,,,,,,,,
AC091435.1,,,,,,,,,,,,,,,,,,,,,,
AC091565.1,,,,,,,,,,,,,,,,,,,,,,
AC091736.5,,,,,,,,,,,,,,,,,,,,,,
AC091801.1,,,,,,,,,,,,,,,,,,,,,,
AC092067.1,,,,,,,,,,,,,,,,,,,,,,
AC092117.1,,,,,,,,,,,,,,,,,,,,,,
AC092135.1,,,,,,,,,,,,,,,,,,,,,,
AC092171.1,,,,,,,,,,,,,,,,,,,,,,
AC092171.2,,,,,,,,,,,,,,,,,,,,,,
AC092295.7,,,,,,,,,,,,,,,,,,,,,,
AC092327.1,,,,,,,,,,,,,,,,,,,,,,
AC092329.1,,,,,,,,,,,,,,,,,,,,,,
AC092384.1,,,,,,,,,,,,,,,,,,,,,,
AC092811.1,,,,,,,,,,,,,,,,,,,,,,
AC093158.1,,,,,,,,,,,,,,,,,,,,,,
AC093726.6,,,,,,,,,,,,,,,,,,,,,,
AC093799.1,,,,,,,,,,,,,,,,,,,,,,
AC099759.1,,,,,,,,,,,,,,,,,,,,,,
AC100775.1,,,,,,,,,,,,,,,,,,,,,,
AC100793.1,,,,,,,,,,,,,,,,,,,,,,
AC102948.1,,,,,,,,,,,,,,,,,,,,,,
AC103559.1,,,,,,,,,,,,,,,,,,,,,,
AC103810.1,,,,,,,,,,,,,,,,,,,,,,
AC103810.2,,,,,,,,,,,,,,,,,,,,,,
AC104304.1,,,,,,,,,,,,,,,,,,,,,,
AC104472.1,,,,,,,,,,,,,,,,,,,,,,
AC105020.1,,,,,,,,,,,,,,,,,,,,,,
AC105345.1,,,,,,,,,,,,,,,,,,,,,,
AC106722.1,,,,,,,,,,,,,,,,,,,,,,
AC106873.4,,,,,,,,,,,,,,,,,,,,,,
AC107021.1,,,,,,,,,,,,,,,,,,,,,,
AC108134.1,,,,,,,,,,,,,,,,,,,,,,
AC108134.2,,,,,,,,,,,,,,,,,,,,,,
AC108463.1,,,,,,,,,,,,,,,,,,,,,,
AC109829.1,,,,,,,,,,,,,,,,,,,,,,
AC110285.1,,,,,,,,,,,,,,,,,,,,,,
AC110373.1,,,,,,,,,,,,,,,,,,,,,,
AC110491.1,,,,,,,,,,,,,,,,,,,,,,
AC110781.3,,,,,,,,,,,,,,,,,,,,,,
AC111170.2,,,,,,,,,,,,,,,,,,,,,,
AC111170.3,,,,,,,,,,,,,,,,,,,,,,
AC112512.1,,,,,,,,,,,,,,,,,,,,,,
AC112715.2,,,,,,,,,,,,,,,,,,,,,,
AC113191.1,,,,,,,,,,,,,,,,,,,,,,
AC114546.1,,,,,,,,,,,,,,,,,,,,,,
AC114772.1,,,,,,,,,,,,,,,,,,,,,,
AC115618.1,,,,,,,,,,,,,,,,,,,,,,
AC116165.1,,,,,,,,,,,,,,,,,,,,,,
AC118344.1,,,,,,,,,,,,,,,,,,,,,,
AC120114.1,,,,,,,,,,,,,,,,,,,,,,
AC120194.1,,,,,,,,,,,,,,,,,,,,,,
AC123788.1,,,,,,,,,,,,,,,,,,,,,,
AC125494.1,,,,,,,,,,,,,,,,,,,,,,
AC127496.1,,,,,,,,,,,,,,,,,,,,,,
AC127496.3,,,,,,,,,,,,,,,,,,,,,,
AC129492.6,,,,,,,,,,,,,,,,,,,,,,
AC130352.1,,,,,,,,,,,,,,,,,,,,,,
AC130454.2,,,,,,,,,,,,,,,,,,,,,,
AC131097.4,,,,,,,,,,,,,,,,,,,,,,
AC131180.1,,,,,,,,,,,,,,,,,,,,,,
AC131180.2,,,,,,,,,,,,,,,,,,,,,,
AC131971.1,,,,,,,,,,,,,,,,,,,,,,
AC132186.2,,,,,,,,,,,,,,,,,,,,,,
AC132216.1,,,,,,,,,,,,,,,,,,,,,,
AC133919.6,,,,,,,,,,,,,,,,,,,,,,
AC134312.1,,,,,,,,,,,,,,,,,,,,,,
AC135178.1,,,,,,,,,,,,,,,,,,,,,,
AC135352.1,,,,,,,,,,,,,,,,,,,,,,
AC135457.1,,,,,,,,,,,,,,,,,,,,,,
AC136618.1,,,,,,,,,,,,,,,,,,,,,,
AC138028.1,,,,,,,,,,,,,,,,,,,,,,
AC138969.4,,,,,,,,,,,,,,,,,,,,,,
