Grid Location,Raw Volume,Raw Volume,Raw Volume Avg.,Raw Volume,Raw Volume,Raw Volume Avg.,Raw Volume,Raw Volume,Raw Volume Avg.,Raw Volume,Raw Volume,Raw Volume Avg.,UniGene,Gene Name
GRID-   1-R2C3,8050.21,8439.1,8244.655,6903.85,8887.66,7895.755,8686.45,8148.09,8417.27,9799.91,8050.6,8925.255,Hs.169907,glutathionetransferaseA4-4
GRID-   1-R2C4,9494.42,9337.71,9416.065,7799.72,9575.13,8687.425,8649.57,8459.71,8554.64,8683.1,8950.09,8816.595,Hs.635,"DIHYDROPRYRIDINE-SENSITIVEL-TYPE,CALCIUMCHANNELBETA-1-B1SUBUNIT"
GRID-   1-R2C5,7589.52,7839.74,7714.63,7856.05,7414.69,7635.37,7799.16,7514.13,7656.645,8086.81,7855.37,7971.09,Hs.74615,"Platelet-derivedgrowthfactorreceptor,alphapolypeptide"
GRID-   1-R2C6,8026.01,8086.72,8056.365,7936.26,8169.63,8052.945,9227.45,8471.75,8849.6,8780.79,8796.18,8788.485,Hs.61828,"amyloidprotein-bindingprotein1mRNA,completecds"
GRID-   1-R2C7,9939.16,9775.25,9857.205,9046.2,8456.32,8751.26,10625.04,10430.86,10527.95,12430.36,12593.54,12511.95,Hs.351252,CAMPresponsiveelementmodulator
GRID-   1-R2C8,37238.75,36535.88,36887.315,35313.32,33474.01,34393.665,44840.59,44872.23,44856.41,44279.46,52436.18,48357.82,Hs.3462,CytochromecoxidaseVIIcsubunit
GRID-   1-R2C9,27464.27,28176.6,27820.435,27050.59,25540.42,26295.505,25406.6,29416.63,27411.615,24046.83,30338.42,27192.625,Hs.91773,"Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform"
GRID-   1-R2C10,11226.57,9341.41,10283.99,8949.07,7736.96,8343.015,8258.86,9823.34,9041.1,6997.08,9801.21,8399.145,Hs.347326,Intercellular adhesion molecule 2
GRID-   1-R2C11,11670.4,11398.09,11534.245,11019.14,10155.6,10587.37,11872.39,12250.03,12061.21,9604.82,11517.08,10560.95,Hs.6196,integrin-linked kinase (ILK) 
GRID-   1-R2C12,9573.48,9283.63,9428.555,8168.71,7458.11,7813.41,8794.33,10827.25,9810.79,7996,10009.2,9002.6,Hs.3762,"ESTs, Highly similar to SLIT PROTEIN [Drosophila melanogaster]"
GRID-   1-R3C1,5746.23,8011.36,6878.795,5137.1,7217.33,6177.215,8062.06,8944.19,8503.125,7733.78,8584.06,8158.92,Hs.89839,TYROSINE-PROTEINKINASERECEPTOREPH
GRID-   1-R3C2,7642.8,7661.92,7652.36,6367.72,7525.48,6946.6,7770.58,8031.12,7900.85,7542.95,8296.39,7919.67,Hs.1827,Nervegrowthfactorreceptor
GRID-   1-R3C3,7919.89,8108.94,8014.415,7286.08,8867.21,8076.645,9170.44,9089.14,9129.79,9833.6,9965.09,9899.345,Hs.93213,"BakmRNA,completecds"
GRID-   1-R3C4,7314.79,7846.69,7580.74,6722.21,8474.73,7598.47,7396.95,7702.71,7549.83,7590.51,9753.07,8671.79,Hs.150403,Dopadecarboxylase(aromaticL-aminoaciddecarboxylase)
GRID-   1-R3C5,7123.51,8101.47,7612.49,6111.96,7578.12,6845.04,7539.75,7110.06,7324.905,7187.91,7288.65,7238.28,Hs.106283,insulin-like growth factor binding protein 6
GRID-   1-R3C6,7919.24,8038.39,7978.815,7242.54,8654.62,7948.58,8276.03,7517.86,7896.945,8490.5,8537.98,8514.24,Hs.59889,"cloneHSH1HMGCoAsynthasemRNA,partialcds"
GRID-   1-R3C7,6346.75,8220.14,7283.445,7318.66,7138.8,7228.73,7997.8,8375.28,8186.54,8773.28,9270.64,9021.96,Hs.12068,Carnitineacetyltransferase
GRID-   1-R3C8,10012.81,9747.63,9880.22,9878.57,10024.29,9951.43,9719.15,11447.73,10583.44,10011.35,14789.8,12400.575,Hs.347969,cytochrome c oxidase subunit IV
GRID-   1-R3C9,11315.85,10046.62,10681.235,10571.32,10103.07,10337.195,8227.58,10456.45,9342.015,8234.56,12760.25,10497.405,Hs.2877,Cadherin 3 (P-cadherin)
GRID-   1-R3C10,9803.16,10934.54,10368.85,10025.73,8838.23,9431.98,10147.99,11135.02,10641.505,7922.66,10624.97,9273.815,Hs.82109,delta receptor 1 plasmid replacement
GRID-   1-R3C11,9241.97,9150.95,9196.46,8289.78,7438.68,7864.23,8259.37,9758.72,9009.045,6735.93,8774.8,7755.365,Hs.32963,cadherin-6 
GRID-   1-R3C12,8342.48,9165.54,8754.01,6940.43,6991.87,6966.15,7972.38,8264.13,8118.255,8261.04,8974.8,8617.92,Hs.5566,"ESTs, Highly similar to RAS-RELATED PROTEIN RAB-1A "
GRID-   1-R4C1,6466.54,9843.33,8154.935,6306.61,7631.16,6968.885,8034.68,11141.62,9588.15,7167.07,8468.16,7817.615,Hs.146580,"Enolase2,(gamma,neuronal)"
GRID-   1-R4C2,8143.77,10116.84,9130.305,7172.96,8449.03,7810.995,9020.15,8869.12,8944.635,7777.57,8330.36,8053.965,Hs.194772,Oligodendrocytemyelinglycoprotein
GRID-   1-R4C3,9893.6,9991.25,9942.425,8972.22,11375.46,10173.84,11215.74,11504.41,11360.075,10054.76,13564.31,11809.535,Hs.11173,"Gproteincoupledinwardrectifierpotassiumchannel2(hiGIRK2)mRNA,completecds"
GRID-   1-R4C4,9400.33,9331.05,9365.69,8576.9,9734.75,9155.825,10516.67,9831.22,10173.945,9110.56,10406.31,9758.435,Hs.333303,"Gapjunctionprotein,beta1,32kD(connexin32,Charcot-Marie-Toothneuropathy,X-linked)"
GRID-   1-R4C5,7935.29,7783.25,7859.27,8031.4,7258.05,7644.725,8769.48,7202.58,7986.03,8477.05,7766.8,8121.925,Hs.106242,"ESTs,HighlysimilartoCYTOCHROMEP450IVF3[]"
GRID-   1-R4C6,8902.66,10140.83,9521.745,9679.89,9643.79,9661.84,10703.53,9246.2,9974.865,10446.04,11430.28,10938.16,Hs.54481,"apolipoproteinEreceptor2,completecds"
GRID-   1-R4C7,9760.96,10541.07,10151.015,8206.07,8449.51,8327.79,13167.62,13491.75,13329.685,13278.92,13781.23,13530.075,Hs.1645,"CytochromeP450,subfamilyIVA,polypeptide11"
GRID-   1-R4C8,6759.71,10316.24,8537.975,9409.57,9713.33,9561.45,9367.26,11585.12,10476.19,8948.62,10553.94,9751.28,Hs.90093,heat shock 70kD protein 4
GRID-   1-R4C9,8816.19,9163.58,8989.885,9019.1,8222.4,8620.75,8081.51,10361.06,9221.285,7423.78,10169.3,8796.54,Hs.79133,Cadherin8
GRID-   1-R4C10,9838.04,9309,9573.52,7801.44,7240.42,7520.93,8318.46,9908.17,9113.315,7651.47,9817.04,8734.255,Hs.55198,"ESTs, Highly similar to F-ACTIN CAPPING PROTEIN BETA SUBUNIT "
GRID-   1-R4C11,10158.59,10624.7,10391.645,8863.04,8002.94,8432.99,9386.33,9628.27,9507.3,8817.3,11386.76,10102.03,Hs.100980,protein phosphatase Wip1 
GRID-   1-R4C12,10494.67,9898.98,10196.825,8721.96,7407.42,8064.69,9125.42,8509.55,8817.485,9306.07,11023.19,10164.63,Hs.3764,"ESTs, Highly similar to guanylate kinase "
GRID-   1-R5C1,7050.8,9014.51,8032.655,6870.09,7826.44,7348.265,8264.76,12558.61,10411.685,7532.79,7960.51,7746.65,Hs.86724,GTPcyclohydrolase1(dopa-responsivedystonia){alternativeproducts}
GRID-   1-R5C2,9791.06,9503.39,9647.225,9268.68,8694.1,8981.39,9418.2,10029.2,9723.7,8796.14,9611,9203.57,Hs.1892,PhenylethanolamineN-methyltransferase
GRID-   1-R5C3,9348.47,8706.73,9027.6,7528.22,8918.36,8223.29,9859.88,9802.83,9831.355,8833.8,11057.01,9945.405,Hs.108802,"N-ethylmaleimide-sensitivefactormRNA,partialcds"
GRID-   1-R5C4,9511.08,10458.15,9984.615,8949.44,9897.92,9423.68,11623.04,10052.44,10837.74,10087.03,11195.85,10641.44,Hs.324784,"Glutamatedecarboxylase1(brain,67kD)"
GRID-   1-R5C5,8322.96,8904.81,8613.885,7988.41,7903.86,7946.135,9048.72,8447.01,8747.865,8066.92,8056.68,8061.8,Hs.15282,"ESTs,ModeratelysimilartoEGFrepeattransmembraneprotein[M.musculus]"
GRID-   1-R5C6,9396.76,10499.3,9948.03,8620.31,8903.55,8761.93,11635.49,9976.46,10805.975,9251.76,11185.96,10218.86,Hs.110440,metallothionein(MT)I-Fgene
GRID-   1-R5C7,10404.08,8942.96,9673.52,9444.31,10644.72,10044.515,11568.37,10026.45,10797.41,10390.13,13983.96,12187.045,Hs.72241,DUALSPECIFICITYMITOGEN-ACTIVATEDPROTEINKINASEKINASE2
GRID-   1-R5C8,28673.44,31504.13,30088.785,26470.72,29473.84,27972.28,33671.31,33860.53,33765.92,30927.38,34337.22,32632.3,Hs.8402,"ESTs,HighlysimilartoADENYLATECYCLASE,OLFACTIVETYPE[Rattusnorvegicus]"
GRID-   1-R5C9,9750.06,12938.15,11344.105,9386.54,9048.35,9217.445,11338.63,14363.04,12850.835,10440.5,12686.1,11563.3,Hs.171271,"Catenin (cadherin-associated protein), beta 1(88 kD)"
GRID-   1-R5C10,15250.01,8881.32,12065.665,7260.08,6976.59,7118.335,8789.04,9053.9,8921.47,7555.09,8714.54,8134.815,Hs.179574,"ESTs, Highly similar to PROTEIN PHOSPHATASE PP2A, 55KD REGULATORY SUBUNIT, ALPHA ISOFORM [Oryctolagus cuniculus]"
GRID-   1-R5C11,11337.05,11481.47,11409.26,9800.35,7872.66,8836.505,10257.06,9728.71,9992.885,9690.95,10493.28,10092.115,Hs.108885,alpha-1 (VI) collagen
GRID-   1-R5C12,10519.39,10918.38,10718.885,9407.69,7311.21,8359.45,8737.61,7885.57,8311.59,8074.77,9650.1,8862.435,Hs.57818,"ESTs, Moderately similar to Fos-related antigen [R.norvegicus]"
GRID-   1-R6C1,6764.39,7864.18,7314.285,7302.69,8005.08,7653.885,9705.17,9748.55,9726.86,9178.45,9622.92,9400.685,Hs.1447,Glialfibrillaryacidicprotein
GRID-   1-R6C2,10106.41,10507,10306.705,10358.08,11022.9,10690.49,11366.82,10792.3,11079.56,12052.56,13420.35,12736.455,Hs.1897,Proopiomelanocortin(adrenocorticotropin/beta-lipotropin/alpha-melanocytestimulatinghormone/beta-melanocytestimulatinghormone/beta-endorphin)
GRID-   1-R6C3,28678.84,32721.16,30700,27220.74,27734.6,27477.67,29604.83,30329.65,29967.24,29227.27,34317.3,31772.285,Hs.101688,"calmodulinmRNA,completecds"
GRID-   1-R6C4,9976.74,10849.37,10413.055,10565.75,8873.04,9719.395,10755,11912.23,11333.615,8849.74,11675.93,10262.835,Hs.105,"Glutamatereceptor,ionotropic,N-methylD-aspartate1"
GRID-   1-R6C5,9464.95,9614.37,9539.66,8769.45,8663.93,8716.69,8670.03,9385.9,9027.965,8659.5,11469.58,10064.54,Hs.83429,"TNF-relatedapoptosisinducingligandTRAILmRNA,completecds"
GRID-   1-R6C6,30120.04,31742.98,30931.51,26096.14,28291.49,27193.815,27896.12,28904.32,28400.22,25190.36,33990.67,29590.515,Hs.107169,Insulin-likegrowthfactorbindingprotein5
GRID-   1-R6C7,10084.61,10548.29,10316.45,11084.94,8864.17,9974.555,9718.32,11186.21,10452.265,7976.22,10649.74,9312.98,Hs.99987,"Excisionrepaircross-complementingrodentrepairdeficiency,complementationgroup2(xerodermapigmentosumD)"
GRID-   1-R6C8,10623.21,10419.57,10521.39,9360.83,10271.29,9816.06,10719.88,10599.55,10659.715,8902.2,11941.7,10421.95,Hs.93841,"potassium large conductance calcium-activated channel, subfamily M, beta member 1"
GRID-   1-R6C9,8433.81,11871.22,10152.515,7708.83,9201.51,8455.17,9691.2,10273.35,9982.275,9145.64,10249.73,9697.685,Hs.90283,"Collagen, type I, alpha-2"
GRID-   1-R6C10,12799.98,9453.53,11126.755,8248.22,6539,7393.61,8836.57,9772.25,9304.41,8164.94,8509.5,8337.22,Hs.83044,"ESTs, Highly similar to homolog of Drosophila lethal discs large 1 "
GRID-   1-R6C11,13619.93,11974.29,12797.11,10800.16,10608.2,10704.18,10859.88,11240.96,11050.42,11541.47,13072.11,12306.79,Hs.70983,PTPL1-associated Rho GAP  
GRID-   1-R6C12,26960.19,31634.87,29297.53,30999.39,28193.74,29596.565,29244.34,29394.36,29319.35,27711.65,30773.89,29242.77,Hs.89436,LI-cadherin
GRID-   1-R7C1,6578.62,7543.28,7060.95,6982.63,7247.19,7114.91,8813.6,8849.09,8831.345,8914.15,10007.86,9461.005,Hs.69547,Myelinbasicprotein
GRID-   1-R7C2,24822.63,27353.02,26087.825,25079.93,26929.59,26004.76,26670.83,28117.27,27394.05,25391.61,29661.57,27526.59,Hs.78589,proteaseinhibitor12(PI12;neuroserpin)
GRID-   1-R7C3,12062.7,14395.97,13229.335,11346.4,11148.29,11247.345,20825.95,21225.7,21025.825,16170.65,19829.16,17999.905,Hs.302300,Syntaxin5A
GRID-   1-R7C4,8279.43,9309.2,8794.315,8830.55,8934.66,8882.605,9765.37,10820.71,10293.04,8670.24,9800.99,9235.615,Hs.23838,"neuronalDHP-sensitive,voltage-dependent,calciumchannelalpha-1DsubunitmRNA,completecds"
GRID-   1-R7C5,7462.31,8562.54,8012.425,7434.5,7253.48,7343.99,8212.47,8805.78,8509.125,7228,8955.16,8091.58,Hs.2706,Phospholipidhydroperoxideglutathioneperoxidase
GRID-   1-R7C6,9750.68,9378.79,9564.735,8041.59,9817,8929.295,9273.75,10018.94,9646.345,8051.64,11865.93,9958.785,Hs.203862,"Guaninenucleotidebindingprotein(Gprotein),alphainhibitingactivitypolypeptide1"
GRID-   1-R7C7,8785.02,7908.64,8346.83,8433.68,7399.33,7916.505,7777.65,8632.93,8205.29,7659.99,7844.01,7752,Hs.75607,Myristoylatedalanine-richC-kinasesubstrate
GRID-   1-R7C8,8993.37,9220.75,9107.06,7676.29,6561.83,7119.06,7388.32,8780.53,8084.425,7072.75,7942.53,7507.64,Hs.2719,HE4extracellularproteinaseinhibitorhomologue
GRID-   1-R7C9,8349,9904.12,9126.56,7475.37,7458.67,7467.02,8387.6,9873.69,9130.645,8460.27,9682.35,9071.31,Hs.78146,Platelet/endothelial cell adhesion molecule (CD31 antigen)
GRID-   1-R7C10,7497.52,7894.35,7695.935,6743.5,6557.93,6650.715,7661.06,8563.49,8112.275,7228.17,8130.61,7679.39,Hs.223025,low-Mr GTP-binding protein (RAB31) 
GRID-   1-R7C11,9873.9,9156.24,9515.07,7171.56,8123.35,7647.455,8568.19,9787.09,9177.64,8737.19,10666.59,9701.89,Hs.10247,Activated leucocyte cell adhesion molecule
GRID-   1-R7C12,11944.56,12062.93,12003.745,9690.29,9672.07,9681.18,12333.01,12929.1,12631.055,12292.03,14101.27,13196.65,Hs.31053,cytoskeleton associated protein (CG22) 
GRID-   1-R8C1,6370.77,7508.39,6939.58,6399.75,7328.97,6864.36,10447.6,8268.01,9357.805,7447.37,9971.8,8709.585,Hs.2561,Nervegrowthfactorbeta
GRID-   1-R8C2,8342.84,9189.1,8765.97,8638.54,10622.91,9630.725,11357.35,9827.73,10592.54,9655.11,12376.9,11016.005,Hs.19317,"TGF-betarelatedneurotrophicfactorreceptor2(TRNR2)mRNA,completecds"
GRID-   1-R8C3,27077.48,27233.89,27155.685,23295.29,26750.2,25022.745,25400.57,27343.75,26372.16,23759.88,27692.53,25726.205,Hs.297753,Vimentin
GRID-   1-R8C4,11600.18,11630.81,11615.495,9021.68,9674.32,9348,11922.25,12509.88,12216.065,9984.47,13706.93,11845.7,Hs.5422,"neuronalmembraneglycoproteinM6bmRNA,partialcds"
GRID-   1-R8C5,9772.97,9807.39,9790.18,9000.37,8412.94,8706.655,11724.97,9574.52,10649.745,8054.82,11216.3,9635.56,Hs.77202,"ProteinkinaseC,beta1"
GRID-   1-R8C6,9395.93,8293.05,8844.49,8301.54,8408.41,8354.975,9683.43,8662.49,9172.96,6818.31,9644.85,8231.58,Hs.25253,HUMM9mRNA
GRID-   1-R8C7,8235.22,10144.65,9189.935,8279.41,8259.14,8269.275,8689.23,8675.33,8682.28,5972.02,8965.95,7468.985,Hs.93164,Proproteinconvertasesubtilisin/kexintype2
GRID-   1-R8C8,8457.65,9788.6,9123.125,7998.1,8048.59,8023.345,8689.12,8735.68,8712.4,11285.31,8300.38,9792.845,Hs.86131,mediatorofreceptor-inducedtoxicity
GRID-   1-R8C9,8907.52,10398.5,9653.01,9181.73,8121.02,8651.375,9183.37,10223.95,9703.66,10427.32,10511.4,10469.36,Hs.28219,"Protein phosphatase 2 (formerly 2A), regulatory subunit B'' (PR72), alpha isoform and (PR130), beta isoform"
GRID-   1-R8C10,7861.76,8365.52,8113.64,8074.93,7775.05,7924.99,7882.66,9153.82,8518.24,8379.97,11055.18,9717.575,Hs.80350,protein phosphatase 2A (beta-type)
GRID-   1-R8C11,8992.3,10398.98,9695.64,9160.93,9882.81,9521.87,8767.5,12661.37,10714.435,10144.94,10131.11,10138.025,Hs.26208,"collagen, type XVI, alpha 1"
GRID-   1-R8C12,8719.77,9534.33,9127.05,8792.02,7580.11,8186.065,9581.27,9554.79,9568.03,7431.3,8823.4,8127.35,Hs.3764,guanylate kinase (GUK 1) 
GRID-   1-R9C1,6866.16,8086.69,7476.425,6613.89,8122.68,7368.285,8688.48,9424.7,9056.59,8134.55,8621.13,8377.84,Hs.89455,"Opioidreceptor,kappa1"
GRID-   1-R9C2,7663.7,8874.39,8269.045,8016.35,8355.69,8186.02,9738.65,10038.83,9888.74,9907.48,9952.02,9929.75,Hs.60415,"gammaSNAPmRNA,completecds"
GRID-   1-R9C3,8414.28,9313.48,8863.88,8373.79,9144.27,8759.03,9715.8,10040.35,9878.075,9633.84,11912.07,10772.955,Hs.86905,"ATPase,H+transporting,lysosomal(vacuolarprotonpump)42kD"
GRID-   1-R9C4,24056.21,25653.7,24854.955,22098.26,23043.53,22570.895,24103.97,24364.91,24234.44,23688.17,25376.32,24532.245,Hs.256697,"putativeproteinkinaseCinhibitor(PKCI-1)mRNA,completecds"
GRID-   1-R9C5,9224.49,10217.33,9720.91,9391.95,8384.99,8888.47,9841.25,10751.21,10296.23,7922.33,10093.34,9007.835,Hs.1904,"ProteinkinaseC,iota"
GRID-   1-R9C6,10171.62,9280.65,9726.135,8809.42,8640,8724.71,9317.14,9545.3,9431.22,7981.99,11840.1,9911.045,Hs.75618,Rab11gene
GRID-   1-R9C7,26427.45,28348.96,27388.205,23341.25,24986.45,24163.85,22415.9,26408.3,24412.1,20745,25609.06,23177.03,Hs.77439,"Proteinkinase,cAMP-dependent,regulatory,typeII,beta"
GRID-   1-R9C8,8620.23,11341.88,9981.055,9759.8,8825.72,9292.76,10107.06,10514.03,10310.545,7662.92,9105.6,8384.26,Hs.12451,"echinodermmicrotubule-associatedproteinhomologHuEMAPmRNA,completecds"
GRID-   1-R9C9,8089.37,9719.97,8904.67,9079.02,7695.18,8387.1,8603.56,9914.8,9259.18,8199.62,9213.16,8706.39,Hs.3642,"RAB1, member RAS oncogene family"
GRID-   1-R9C10,8618.34,8930.42,8774.38,8975.04,7756.6,8365.82,7801.7,9513.96,8657.83,11093.18,9094.21,10093.695,Hs.7688,"PROTEIN PHOSPHATASE PP2A, 55 KD REGULATORY SUBUNIT, NEURONAL ISOFORM"
GRID-   1-R9C11,10927.02,13427.7,12177.36,12971.79,11197.07,12084.43,11210.7,13004.12,12107.41,11577.65,12630.38,12104.015,Hs.75929,Cadherin 11 (OB-cadherin)
GRID-   1-R9C12,10071.33,10967.93,10519.63,10918.29,8030.89,9474.59,9412.68,10076.05,9744.365,8379.16,9952.37,9165.765,Hs.343564,tubulin-folding cofactor E 
GRID-   1-R10C1,6611.31,7807.2,7209.255,7636.55,6899.8,7268.175,8433.65,7652.15,8042.9,6927.37,7965.17,7446.27,Hs.169449,"ProteinkinaseC,alpha"
GRID-   1-R10C2,7949.6,8517.81,8233.705,8085.36,8761.25,8423.305,8672.49,9277.61,8975.05,7715.69,9062.72,8389.205,Hs.21226,"neuralcelladhesionmolecule(CALL)mRNA,completecds"
GRID-   1-R10C3,8394.53,8822.92,8608.725,8473.74,8790.4,8632.07,9256.39,10285.42,9770.905,7409.35,8772.48,8090.915,Hs.56023,Brain-derivedneurotrophicfactor
GRID-   1-R10C4,8509.49,9629.29,9069.39,8058.14,9299.12,8678.63,8491.84,10762.5,9627.17,6976.02,9204.41,8090.215,Hs.66708,"synaptobrevin-3mRNA,completecds"
GRID-   1-R10C5,7491.48,9564.16,8527.82,7694.14,7805.92,7750.03,8287.42,8915.95,8601.685,7909.76,8428.34,8169.05,Hs.77271,"Proteinkinase,cAMP-dependent,catalytic,alpha"
GRID-   1-R10C6,7972.66,9556.1,8764.38,7213.02,8579.24,7896.13,8134.49,9099.31,8616.9,8419.45,9943.68,9181.565,Hs.30888,"COX7RP,completecds"
GRID-   1-R10C7,8863.11,10662.92,9763.015,8460.25,8567.18,8513.715,9206.37,10557.3,9881.835,8918.76,11422.56,10170.66,Hs.6838,RhoE
GRID-   1-R10C8,14550.5,16870.14,15710.32,13368.83,13338.86,13353.845,13534.04,14685.69,14109.865,12930.97,15577.9,14254.435,Hs.101067,histone acetyltransferase (GCN5)
GRID-   1-R10C9,8987.83,10481.02,9734.425,9907.15,8074.51,8990.83,8129.61,11242.43,9686.02,8450.45,11240.71,9845.58,Hs.73957,"RAB5A, member RAS oncogene family"
GRID-   1-R10C10,8716.17,9452.85,9084.51,8530.7,7805.05,8167.875,7888.76,8531.34,8210.05,7636.9,8533.13,8085.015,Hs.74599,protocadherin 43 mRNA for abbreviated PC43
GRID-   1-R10C11,8329.64,9997.41,9163.525,8439.46,6985.74,7712.6,8752.06,8962.65,8857.355,10861.58,9669.31,10265.445,Hs.146428,"Collagen, type V, alpha 1"
GRID-   1-R10C12,8097.6,9743.5,8920.55,7277.4,6722.71,7000.055,8416.75,9656.9,9036.825,7525.94,8544.37,8035.155,Hs.851,"Integrin,alpha E (antigen CD103, mucosal lymphocyte antigen 1; alphapolypeptide)"
GRID-   1-R11C1,6235.08,8318.56,7276.82,6788.82,6801.47,6795.145,7629.44,7239.96,7434.7,6733.47,8222.78,7478.125,Hs.47626,Ric(Drosophila)-like(expressedinneurons)
GRID-   1-R11C2,8832.6,10447.54,9640.07,9570.17,8421.7,8995.935,10419.41,10763.12,10591.265,9090.17,11340.39,10215.28,Hs.23731,"post-synapticdensityprotein95(PSD95)mRNA,completecds"
GRID-   1-R11C3,6989.13,7831.03,7410.08,7140.13,6923.38,7031.755,7689.27,10173.65,8931.46,6098.7,8373.62,7236.16,Hs.278295,"Cholinergicreceptor,nicotinic,epsilonpolypeptide"
GRID-   1-R11C4,7773.34,8391.74,8082.54,7231.99,6795.92,7013.955,7788.9,8745.03,8266.965,7156.49,8073.01,7614.75,Hs.90291,"Laminin,beta2(lamininS)"
GRID-   1-R11C5,7346.31,8298.29,7822.3,6452.7,6653.74,6553.22,7916.27,7755.83,7836.05,6465.17,8251.58,7358.375,Hs.84190,"Solutecarrierfamily19(folatetransporter),member1"
GRID-   1-R11C6,7859.9,8406.54,8133.22,7917.68,7043.49,7480.585,7932.55,9645.44,8788.995,7367.96,9103.15,8235.555,Hs.44585,"Bcl2,p53bindingproteinBbp/53BP2(BBP/53BP2)mRNA,completecds"
GRID-   1-R11C7,9930.04,11137.45,10533.745,7648.12,8116.21,7882.165,8968.26,9428.07,9198.165,7910.58,11654.79,9782.685,Hs.1846,Tumorproteinp53(Li-Fraumenisyndrome)
GRID-   1-R11C8,32559.58,36478.04,34518.81,29845.82,35269.44,32557.63,32332.99,32654.05,32493.52,34080.07,38234.61,36157.34,Hs.75270,"RarproteinmRNA,completecds"
GRID-   1-R11C9,8950.89,12621.26,10786.075,10101.7,8498.2,9299.95,10518.32,12051.06,11284.69,8922.94,11493.87,10208.405,Hs.82848,Selectin L (lymphocyte adhesion molecule 1)
GRID-   1-R11C10,8368.52,10162.54,9265.53,7264.66,6667.05,6965.855,7550.48,9234.44,8392.46,7516.09,9255.67,8385.88,Hs.79089,semaphorin (CD100)
GRID-   1-R11C11,8982.13,10181.07,9581.6,8165.83,7751.06,7958.445,9157.75,9945.06,9551.405,8519.56,8771.79,8645.675,Hs.83164,"Collagen, type XV, alpha 1"
GRID-   1-R11C12,8109.27,9883.82,8996.545,7990.84,6563.89,7277.365,8367.36,9251.12,8809.24,7569.01,7895.19,7732.1,Hs.183994,"Protein phosphatase 1, catalytic subunit, alpha isoform"
