"","Length","ACUK","WGGA","GAC","GACR","GACARG","QFM","ACUK.freq","WGGA.freq","GAC.freq","GACR.freq","GACARG.freq","QFM.freq"
"Adam1a",2376,34,44,38,14,1,0,14.31,18.52,15.99,5.89,0.42,0
"Adam1b",2421,34,52,45,17,2,2,14.04,21.48,18.59,7.02,0.83,0.83
"Adam22",2784,25,51,47,27,4,1,8.98,18.32,16.88,9.7,1.44,0.36
"Adam23",2490,24,37,41,19,2,0,9.64,14.86,16.47,7.63,0.8,0
"Adam23.1",2490,22,35,40,18,2,0,8.84,14.06,16.06,7.23,0.8,0
"Adam23.2",2490,22,34,40,18,2,0,8.84,13.65,16.06,7.23,0.8,0
"Adam28",2382,19,45,32,13,1,2,7.98,18.89,13.43,5.46,0.42,0.84
"Adam33",2394,20,43,37,8,3,0,8.35,17.96,15.46,3.34,1.25,0
"Adam4",2292,27,46,21,5,0,2,11.78,20.07,9.16,2.18,0,0.87
"Adam8",2481,22,40,38,17,2,1,8.87,16.12,15.32,6.85,0.81,0.4
"Adam9",2592,22,54,48,23,2,2,8.49,20.83,18.52,8.87,0.77,0.77
"Adamts1",2907,21,38,50,24,3,2,7.22,13.07,17.2,8.26,1.03,0.69
"Adamts10",3315,27,42,47,23,3,0,8.14,12.67,14.18,6.94,0.9,0
"Adamts13",4281,42,83,92,36,5,3,9.81,19.39,21.49,8.41,1.17,0.7
"Adamts14",3630,29,69,75,34,6,2,7.99,19.01,20.66,9.37,1.65,0.55
"Adamts15",2853,29,32,58,24,4,1,10.16,11.22,20.33,8.41,1.4,0.35
"Adamts16",3669,27,59,65,27,0,1,7.36,16.08,17.72,7.36,0,0.27
"Adamts17",3369,28,65,74,32,3,4,8.31,19.29,21.96,9.5,0.89,1.19
"Adamts18",3660,25,57,59,33,1,0,6.83,15.57,16.12,9.02,0.27,0
"Adamts19",3633,28,68,55,21,1,3,7.71,18.72,15.14,5.78,0.28,0.83
"Adamts2",3642,30,70,69,41,5,2,8.24,19.22,18.95,11.26,1.37,0.55
"Adamts20",5721,65,82,111,49,9,2,11.36,14.33,19.4,8.56,1.57,0.35
"Adamts3",3615,41,57,65,31,4,2,11.34,15.77,17.98,8.58,1.11,0.55
"Adamts4",2538,28,24,46,17,2,1,11.03,9.46,18.12,6.7,0.79,0.39
"Adamts5",2793,17,39,48,24,4,1,6.09,13.96,17.19,8.59,1.43,0.36
"Adamts6",3354,47,55,57,25,4,2,14.01,16.4,16.99,7.45,1.19,0.6
"Adamts8",2718,17,45,49,24,4,4,6.25,16.56,18.03,8.83,1.47,1.47
"Adamts9",5796,77,103,110,49,6,3,13.29,17.77,18.98,8.45,1.04,0.52
"Adamtsl1",5262,45,88,82,32,1,4,8.55,16.72,15.58,6.08,0.19,0.76
"Adamtsl2",2874,28,48,61,31,7,2,9.74,16.7,21.22,10.79,2.44,0.7
"Adamtsl3",5121,54,91,98,48,4,2,10.54,17.77,19.14,9.37,0.78,0.39
"Adamtsl4",3111,18,50,50,24,4,1,5.79,16.07,16.07,7.71,1.29,0.32
"Adamtsl5",1458,13,15,27,9,0,0,8.92,10.29,18.52,6.17,0,0
"Adap2",1146,12,24,20,10,1,1,10.47,20.94,17.45,8.73,0.87,0.87
"Adarb2",2238,19,40,33,17,2,2,8.49,17.87,14.75,7.6,0.89,0.89
"Adat1",1500,12,38,25,11,2,3,8,25.33,16.67,7.33,1.33,2
"Adat2",576,4,15,8,4,0,0,6.94,26.04,13.89,6.94,0,0
"Adat3",1050,6,14,16,4,2,1,5.71,13.33,15.24,3.81,1.9,0.95
"Adck1",1578,16,19,28,9,1,0,10.14,12.04,17.74,5.7,0.63,0
"Adck2",1854,22,34,26,8,2,1,11.87,18.34,14.02,4.31,1.08,0.54
"Adck5",1749,20,33,33,13,2,1,11.44,18.87,18.87,7.43,1.14,0.57
"Adcy1",3357,35,53,48,21,2,1,10.43,15.79,14.3,6.26,0.6,0.3
"Adcy4",3234,38,50,47,19,1,1,11.75,15.46,14.53,5.88,0.31,0.31
"Adcy6",3507,29,45,49,16,1,2,8.27,12.83,13.97,4.56,0.29,0.57
"Adcy7",3300,36,42,57,29,4,0,10.91,12.73,17.27,8.79,1.21,0
"Adcy9",4062,35,60,75,33,3,3,8.62,14.77,18.46,8.12,0.74,0.74
"Adcyap1",528,4,6,16,7,1,0,7.58,11.36,30.3,13.26,1.89,0
"Adcyap1r1",1575,25,21,20,8,0,0,15.87,13.33,12.7,5.08,0,0
"Add2",2178,18,47,41,20,2,2,8.26,21.58,18.82,9.18,0.92,0.92
"Adgra2",4011,32,55,44,17,0,2,7.98,13.71,10.97,4.24,0,0.5
"Adgra3",3933,34,59,59,31,1,2,8.64,15,15,7.88,0.25,0.51
"Adgrb3",4569,52,85,64,33,1,2,11.38,18.6,14.01,7.22,0.22,0.44
"Adgrd1",2712,25,32,48,19,2,1,9.22,11.8,17.7,7.01,0.74,0.37
"Adgre1",2796,32,42,40,22,2,2,11.44,15.02,14.31,7.87,0.72,0.72
"Adgre5",2457,34,43,29,12,1,0,13.84,17.5,11.8,4.88,0.41,0
"Adgrf2",1935,14,26,17,9,1,1,7.24,13.44,8.79,4.65,0.52,0.52
"Adgrf4",2097,15,25,16,7,1,1,7.15,11.92,7.63,3.34,0.48,0.48
"Adgrf5",4047,41,56,57,28,3,3,10.13,13.84,14.08,6.92,0.74,0.74
"Adgrg1",2064,15,23,28,10,1,1,7.27,11.14,13.57,4.84,0.48,0.48
"Adgrg6",3582,36,51,57,32,1,1,10.05,14.24,15.91,8.93,0.28,0.28
"Adgrl4",2220,29,26,21,10,0,1,13.06,11.71,9.46,4.5,0,0.45
"Adgrv1",18897,211,336,313,166,15,5,11.17,17.78,16.56,8.78,0.79,0.26
"Adhfe1",1398,11,21,15,8,1,0,7.87,15.02,10.73,5.72,0.72,0
"Adi1",540,4,20,11,8,3,1,7.41,37.04,20.37,14.81,5.56,1.85
"Adk",1086,13,17,18,12,2,0,11.97,15.65,16.57,11.05,1.84,0
"Adm",555,3,8,13,8,1,0,5.41,14.41,23.42,14.41,1.8,0
"Adnp2",3498,43,47,43,19,1,4,12.29,13.44,12.29,5.43,0.29,1.14
"Ado",771,2,10,20,11,1,0,2.59,12.97,25.94,14.27,1.3,0
"Adora1",981,8,11,7,2,0,0,8.15,11.21,7.14,2.04,0,0
"Adora2b",999,11,8,17,8,1,1,11.01,8.01,17.02,8.01,1,1
"Adora3",960,6,9,16,8,0,0,6.25,9.38,16.67,8.33,0,0
"Adpgk",1491,11,31,22,12,0,1,7.38,20.79,14.76,8.05,0,0.67
"Adprhl2",1113,6,21,18,12,0,0,5.39,18.87,16.17,10.78,0,0
"Adprm",1023,10,10,15,8,0,0,9.78,9.78,14.66,7.82,0,0
"Adra1a",1401,7,13,17,5,1,1,5,9.28,12.13,3.57,0.71,0.71
"Adra1b",1548,15,20,22,11,0,0,9.69,12.92,14.21,7.11,0,0
"Adra1d",1689,14,11,25,10,0,2,8.29,6.51,14.8,5.92,0,1.18
"Adra2a",1398,8,5,16,8,0,0,5.72,3.58,11.44,5.72,0,0
"Adra2b",1362,11,14,14,5,0,1,8.08,10.28,10.28,3.67,0,0.73
"Adrb1",1401,8,7,29,17,0,0,5.71,5,20.7,12.13,0,0
"Adrb2",1257,16,17,18,5,0,1,12.73,13.52,14.32,3.98,0,0.8
"Adrm1",1224,12,20,27,9,2,0,9.8,16.34,22.06,7.35,1.63,0
"Adsl",1455,13,24,26,16,3,2,8.93,16.49,17.87,11,2.06,1.37
"Adss",1371,14,33,19,9,1,0,10.21,24.07,13.86,6.56,0.73,0
"Adssl1",1443,13,23,28,11,2,0,9.01,15.94,19.4,7.62,1.39,0
"Aebp1",3387,28,90,76,38,4,4,8.27,26.57,22.44,11.22,1.18,1.18
"Aebp2",1515,6,35,36,26,2,2,3.96,23.1,23.76,17.16,1.32,1.32
"Aen",1011,6,21,21,12,2,0,5.93,20.77,20.77,11.87,1.98,0
"AF529169",2754,23,37,49,24,5,1,8.35,13.44,17.79,8.71,1.82,0.36
"Afap1",2196,7,44,37,18,3,2,3.19,20.04,16.85,8.2,1.37,0.91
"Afap1l1",2307,10,53,45,23,3,2,4.33,22.97,19.51,9.97,1.3,0.87
"Afap1l2",2532,12,49,42,22,0,2,4.74,19.35,16.59,8.69,0,0.79
"Afdn",5484,49,126,101,45,7,4,8.94,22.98,18.42,8.21,1.28,0.73
"Aff1",3681,12,53,80,40,9,1,3.26,14.4,21.73,10.87,2.44,0.27
"Aff2",3819,53,45,55,19,1,0,13.88,11.78,14.4,4.98,0.26,0
"Afg3l1",2370,23,42,31,17,2,3,9.7,17.72,13.08,7.17,0.84,1.27
"Afg3l2",2409,21,56,45,24,5,3,8.72,23.25,18.68,9.96,2.08,1.25
"Aga",1041,12,21,11,5,0,1,11.53,20.17,10.57,4.8,0,0.96
"Agbl2",2589,29,42,41,19,2,2,11.2,16.22,15.84,7.34,0.77,0.77
"Agbl3",3021,25,49,42,21,4,1,8.28,16.22,13.9,6.95,1.32,0.33
"Agbl4",1623,15,24,24,11,0,2,9.24,14.79,14.79,6.78,0,1.23
"Agbl5",2661,21,22,41,12,1,0,7.89,8.27,15.41,4.51,0.38,0
"Agfg1",1743,14,19,26,18,2,1,8.03,10.9,14.92,10.33,1.15,0.57
"Agfg2",1473,12,15,14,4,0,0,8.15,10.18,9.5,2.72,0,0
"Agk",1266,21,21,19,8,1,1,16.59,16.59,15.01,6.32,0.79,0.79
"Agmo",1344,17,21,18,6,1,3,12.65,15.62,13.39,4.46,0.74,2.23
"Ago2",2583,18,35,39,26,5,1,6.97,13.55,15.1,10.07,1.94,0.39
"Ago3",2583,28,41,47,27,7,0,10.84,15.87,18.2,10.45,2.71,0
"Ago4",2586,18,32,47,27,3,1,6.96,12.37,18.17,10.44,1.16,0.39
"Agpat2",837,6,13,11,7,0,0,7.17,15.53,13.14,8.36,0,0
"Agpat3",1131,13,17,21,8,0,1,11.49,15.03,18.57,7.07,0,0.88
"Agpat4",1137,11,18,17,8,3,1,9.67,15.83,14.95,7.04,2.64,0.88
"Agpat5",1098,11,13,15,9,2,0,10.02,11.84,13.66,8.2,1.82,0
"Agpat9",1317,9,23,18,9,1,1,6.83,17.46,13.67,6.83,0.76,0.76
"Agps",2016,15,36,26,11,3,1,7.44,17.86,12.9,5.46,1.49,0.5
"Agrn",6105,56,80,96,33,1,1,9.17,13.1,15.72,5.41,0.16,0.16
"Agt",1449,17,27,29,13,3,2,11.73,18.63,20.01,8.97,2.07,1.38
"Agtrap",486,6,4,9,5,0,0,12.35,8.23,18.52,10.29,0,0
"Ahctf1",6732,71,104,103,37,5,2,10.55,15.45,15.3,5.5,0.74,0.3
"Ahcy",1299,14,20,24,10,0,0,10.78,15.4,18.48,7.7,0,0
"Ahcyl1",1593,13,21,25,12,0,1,8.16,13.18,15.69,7.53,0,0.63
"Ahcyl2",1842,20,26,33,17,2,0,10.86,14.12,17.92,9.23,1.09,0
"Ahdc1",4785,46,51,72,29,4,1,9.61,10.66,15.05,6.06,0.84,0.21
"Ahi1",3144,28,58,62,30,2,2,8.91,18.45,19.72,9.54,0.64,0.64
"Ahr",2418,20,37,39,18,0,0,8.27,15.3,16.13,7.44,0,0
"Ahrr",2106,19,45,41,17,1,2,9.02,21.37,19.47,8.07,0.47,0.95
"Ahsa1",1017,13,21,20,11,2,0,12.78,20.65,19.67,10.82,1.97,0
"Ahsa2",996,16,23,14,9,1,1,16.06,23.09,14.06,9.04,1,1
"AI314180",5523,48,85,61,32,4,1,8.69,15.39,11.04,5.79,0.72,0.18
